
APEL RESUTLS - Warnings with respect to rules in conflict

Voice # 1 results:

brevis
semibrevis
Coloration level: B

semibrevis, 2, 2
minima, 3/2, 18
semiminima, 1/2, 37/2
minima, 1, 39/2
minima, 1, 41/2
minima, 1, 43/2
minima, 1, 45/2
semibrevis, 2, 49/2
<MeiElement note:m-1189>

semibrevis, 2, 2

minima, 1, 1
semibrevis, 2, 3
semibrevis, 2, 5
longa, 8, 13
semibrevis, 2, 15
minima, 1, 16
semibrevis, 2, 18
minima, 1, 19
semibrevis, 2, 21
minima, 1, 22
minima, 1, 23
minima, 1, 24
minima, 1, 25
semibrevis, 2, 27
semibrevis, 3, 30
minima, 1, 31
semibrevis, 2, 33
semibrevis, 2, 35

semibrevis, 2, 2
minima, 1, 3
minima, 1, 4
semibrevis, 2, 6
semibrevis, 2, 8
minima, 1, 9
semibrevis, 2, 11
minima, 1, 12
semibrevis, 2, 14
semibrevis, 2, 16
semibrevis, 2, 18
semibrevis, 2, 20

semibrevis, 2, 2
minima, 1, 3
semibrevis, 2, 5
minima, 1, 6
minima, 1, 7
semibrevis, 2, 9
semibrevis, 2, 11

semibrevis, 2, 2
semibrevis, 2, 4
semibrevis, 2, 6
semibrevis, 2, 8

minima, 1, 1
minima, 1, 2
semibrevis, 2, 4
minima, 1, 5
minima, 1, 6

semiminima, 1/2, 1/2
minima, 1, 3/2
minima, 1, 5/2
semibrevis, 2, 9/2
minima, 3/2, 6
semiminima, 1/2, 13/2
semibrevis, 2, 17/2
minima, 1, 19/2
semibrevis, 2, 23/2
minima, 1, 25/2
minima, 1, 27/2
semibrevis, 2, 31/2
minima, 1, 33/2
minima, 1, 35/2
minima, 1, 37/2
minima, 1, 39/2
minima, 1, 41/2
minima, 1, 43/2
semibrevis, 2, 47/2
Voice # 3 results:

brevis
semibrevis
Coloration level: B

semibrevis, 2, 2

minima, 1, 1
semibrevis, 2, 3
semibrevis, 2, 5
semibrevis, 3, 8
semiminima, 1/2, 17/2
semiminima, 1/2, 9

semibrevis, 2, 2
semibrevis, 2, 4

minima, 1, 1
minima, 1, 2
minima, 1, 3
semibrevis, 2, 5
minima, 1, 6
minima, 1, 7
semibrevis, 2, 9

semibrevis, 2, 2
semibrevis, 2, 4
semibrevis, 2, 6

minima, 1, 1
semibrevis, 2, 3
semibrevis, 2, 5
semibrevis, 2, 7
semibrevis, 2, 9
<MeiElement note:m-382>

semibrevis, 2, 2
minima, 1, 3
minima, 1, 4
minima, 1, 5

semiminima, 1/2, 1/2
minima, 1, 3/2
minima, 1, 5/2
semibrevis, 2, 9/2
semibrevis, 2, 13/2
minima, 3/2, 8
semiminima, 1/2, 17/2
minima, 1, 19/2
minima, 3/2, 11
semiminima, 1/2, 23/2
semiminima, 1/2, 12
semiminima, 1/2, 25/2
semibrevis, 2, 29/2
semibrevis, 2, 33/2
semibrevis, 2, 37/2
semibrevis, 3, 43/2
minima, 1, 45/2
minima, 1, 47/2
semiminima, 1/2, 24
semiminima, 1/2, 49/2
semibrevis, 2, 53/2
minima, 1, 55/2
semibrevis, 2, 59/2
semiminima, 1/2, 30
semiminima, 1/2, 61/2
minima, 1, 63/2
minima, 1, 65/2
minima, 1, 67/2
minima, 1, 69/2
semibrevis, 2, 73/2
minima, 1, 75/2
semibrevis, 2, 79/2
minima, 1, 81/2
minima, 1, 83/2
minima, 1, 85/2
semibrevis, 2, 89/2
semibrevis, 2, 93/2
semibrevis, 2, 97/2
semibrevis, 2, 101/2
semibrevis, 2, 105/2
minima, 1, 107/2
minima, 1, 109/2

semibrevis, 2, 2

semibrevis, 2, 2

semibrevis, 2, 2
semibrevis, 2, 4
semibrevis, 2, 6
minima, 1, 7
semibrevis, 2, 9
minima, 1, 10
semibrevis, 2, 12

semibrevis, 2, 2
semibrevis, 2, 4
semibrevis, 2, 6

minima, 1, 1

semibrevis, 2, 2
minima, 1, 3
semibrevis, 2, 5
minima, 1, 6
semibrevis, 2, 8
minima, 1, 9
minima, 1, 10
<MeiElement note:m-1111>

semibrevis, 2, 2
minima, 1, 3
semibrevis, 2, 5
minima, 1, 6
minima, 1, 7
minima, 1, 8
minima, 1, 9
minima, 1, 10
semibrevis, 2, 12

brevis, 4, 4
semibrevis, 2, 6
semibrevis, 2, 8
brevis, 4, 12

semibrevis, 2, 2

semibrevis, 2, 2
minima, 1, 3
minima, 1, 4
minima, 1, 5
semibrevis, 2, 7
minima, 1, 8
semibrevis, 2, 10
<MeiElement note:m-1463>

semibrevis, 2, 2
semibrevis, 2, 4

minima, 1, 1
semibrevis, 3, 4
minima, 1, 5
semibrevis, 2, 7
semibrevis, 2, 9

semibrevis, 2, 2
semibrevis, 2, 4
semibrevis, 2, 6
minima, 1, 7
semibrevis, 2, 9
minima, 1, 10
semibrevis, 2, 12
semibrevis, 2, 14
semibrevis, 2, 16
semibrevis, 2, 18

minima, 1, 1
minima, 1, 2
semibrevis, 2, 4
minima, 1, 5
semibrevis, 2, 7
minima, 1, 8
semibrevis, 2, 10
semibrevis, 2, 12

minima, 1, 1
minima, 1, 2
semiminima, 1/2, 5/2
semiminima, 1/2, 3
semibrevis, 2, 5
semibrevis, 3, 8
minima, 1, 9
minima, 3/2, 21/2
semiminima, 1/2, 11
minima, 1, 12
semibrevis, 2, 14
minima, 1, 15
minima, 1, 16
semibrevis, 2, 18
minima, 1, 19
minima, 1, 20
minima, 1, 21
semibrevis, 2, 23
minima, 1, 24
semiminima, 1/2, 49/2
semiminima, 1/2, 25
minima, 1, 26
minima, 1, 27
minima, 1, 28
minima, 1, 29
semibrevis, 2, 31

COMPARISON RESUTLS - Notes/Rests (with their xml:id and voice number) that don't match with the ground truth

NOT EQUAL: the NOTE m-2004 in voice 1
In GROUND TRUTH: BREVIS, with 2/3 x default value
In APEL  OUTPUT: BREVIS, with 1 x default value

NOT EQUAL: the NOTE m-253 in voice 2
In GROUND TRUTH: BREVIS, with 2/3 x default value
In APEL  OUTPUT: BREVIS, with 1 x default value

NOT EQUAL: the NOTE m-287 in voice 2
In GROUND TRUTH: SEMIBREVIS, with 1 x default value
In APEL  OUTPUT: SEMIBREVIS, with 2 x default value

NOT EQUAL: the NOTE m-677 in voice 2
In GROUND TRUTH: SEMIBREVIS, with 1 x default value
In APEL  OUTPUT: SEMIBREVIS, with 2 x default value

NOT EQUAL: the NOTE m-1003 in voice 2
In GROUND TRUTH: SEMIBREVIS, with 1 x default value
In APEL  OUTPUT: SEMIBREVIS, with 2 x default value

NOT EQUAL: the NOTE m-1224 in voice 2
In GROUND TRUTH: BREVIS, with 1 x default value
In APEL  OUTPUT: BREVIS, with 2/3 x default value

NOT EQUAL: the NOTE m-2009 in voice 2
In GROUND TRUTH: BREVIS, with 2/3 x default value
In APEL  OUTPUT: BREVIS, with 1 x default value

NOT EQUAL: the NOTE m-2014 in voice 3
In GROUND TRUTH: BREVIS, with 2/3 x default value
In APEL  OUTPUT: BREVIS, with 1 x default value


ACCURACY:
Voice # 0:	185/186 = 99.4623655914
Voice # 1:	169/175 = 96.5714285714
Voice # 2:	176/177 = 99.4350282486
